station_name,train_length,test_length,split_time,forecast_method,mape
JoseRizalBridgeNorth,4032,672,1,pred_prophet,0.0624225531810863
MagnoliaBridge,24,4,1,pred_auto.arima,0.0317963460685933
MagnoliaBridge,24,4,1,pred_forecastHybrid,0.0293805951963181
MagnoliaBridge,24,4,1,pred_prophet,0.0940758188617442
MagnoliaBridge,24,24,1,pred_auto.arima,0.0576031624548402
MagnoliaBridge,24,24,1,pred_forecastHybrid,0.0189302230703802
MagnoliaBridge,24,24,1,pred_prophet,0.0113204542929399
MagnoliaBridge,24,168,1,pred_auto.arima,0.08338661029384
MagnoliaBridge,24,168,1,pred_forecastHybrid,0.838903334680771
MagnoliaBridge,24,168,1,pred_prophet,1.81664515705608
MagnoliaBridge,24,672,1,pred_auto.arima,0.177618152222188
MagnoliaBridge,24,672,1,pred_forecastHybrid,3.99361522183392
MagnoliaBridge,24,672,1,pred_prophet,3.00123261538431
MagnoliaBridge,168,4,1,pred_auto.arima,0.0228637329414614
MagnoliaBridge,168,4,1,pred_forecastHybrid,0.0255876789798092
MagnoliaBridge,168,4,1,pred_prophet,0.0272007576141215
MagnoliaBridge,168,24,1,pred_auto.arima,
MagnoliaBridge,168,24,1,pred_forecastHybrid,0.0754404934781509
MagnoliaBridge,168,24,1,pred_prophet,0.0281472552658601
MagnoliaBridge,168,168,1,pred_auto.arima,0.0694150147537552
MagnoliaBridge,168,168,1,pred_forecastHybrid,0.095418488764558
MagnoliaBridge,168,168,1,pred_prophet,0.0797290990875634
MagnoliaBridge,168,672,1,pred_auto.arima,0.111279351200227
MagnoliaBridge,168,672,1,pred_forecastHybrid,0.128942152610711
MagnoliaBridge,168,672,1,pred_prophet,0.641053037394019
MagnoliaBridge,672,4,1,pred_auto.arima,0.0134688701357654
MagnoliaBridge,672,4,1,pred_forecastHybrid,0.0213645151903565
MagnoliaBridge,672,4,1,pred_prophet,0.0544913058198512
MagnoliaBridge,672,24,1,pred_auto.arima,0.0855637133441462
MagnoliaBridge,672,24,1,pred_forecastHybrid,0.158789695191136
MagnoliaBridge,672,24,1,pred_prophet,0.0582990873684152
MagnoliaBridge,672,168,1,pred_auto.arima,
MagnoliaBridge,672,168,1,pred_forecastHybrid,0.0590393611048028
MagnoliaBridge,672,168,1,pred_prophet,0.156181698137737
MagnoliaBridge,672,672,1,pred_auto.arima,
MagnoliaBridge,672,672,1,pred_forecastHybrid,0.223568138610544
MagnoliaBridge,672,672,1,pred_prophet,0.150738837805458
MagnoliaBridge,4032,4,1,pred_auto.arima,0.178769570218725
MagnoliaBridge,4032,4,1,pred_forecastHybrid,0.00624789431887667
MagnoliaBridge,4032,4,1,pred_prophet,0.0711146899519288
MagnoliaBridge,4032,24,1,pred_auto.arima,0.288946102481661
MagnoliaBridge,4032,24,1,pred_forecastHybrid,0.161935486026939
MagnoliaBridge,4032,24,1,pred_prophet,0.0455032643651908
MagnoliaBridge,4032,168,1,pred_auto.arima,0.184177067791327
MagnoliaBridge,4032,168,1,pred_forecastHybrid,0.1263118605296
MagnoliaBridge,4032,168,1,pred_prophet,0.0875781925568034
MagnoliaBridge,4032,672,1,pred_auto.arima,
MagnoliaBridge,4032,672,1,pred_forecastHybrid,0.233655733510731
MagnoliaBridge,4032,672,1,pred_prophet,0.107400643169769
NE45StViaduct,24,4,1,pred_auto.arima,0.0851294533279881
NE45StViaduct,24,4,1,pred_forecastHybrid,0.0434153306990511
NE45StViaduct,24,4,1,pred_prophet,0.00541394276874705
NE45StViaduct,24,24,1,pred_auto.arima,0.084733759585141
NE45StViaduct,24,24,1,pred_forecastHybrid,0.173465245218618
NE45StViaduct,24,24,1,pred_prophet,0.122575055088205
NE45StViaduct,24,168,1,pred_auto.arima,0.0898056016743212
NE45StViaduct,24,168,1,pred_forecastHybrid,0.567533458589339
NE45StViaduct,24,168,1,pred_prophet,0.585674106718096
NE45StViaduct,24,672,1,pred_auto.arima,0.15707956604618
NE45StViaduct,24,672,1,pred_forecastHybrid,13.8153036196417
NE45StViaduct,24,672,1,pred_prophet,2.27828468343661
NE45StViaduct,168,4,1,pred_auto.arima,0.13458773282279
